iter	Accuracy	MultiClass
559	0.6966937669	0.9209819614
560	0.6967711963	0.9208773713
561	0.6967402245	0.9208164562
562	0.6967866822	0.9206227618
563	0.6968641115	0.9205672304
564	0.696926055	0.9204385647
565	0.6969570267	0.9203111087
566	0.6969725126	0.9202449913
567	0.6970344561	0.9201469948
568	0.6970344561	0.9200451873
569	0.6969105691	0.9199977013
570	0.6970499419	0.9199468278
571	0.6970809137	0.9198060637
572	0.6971738289	0.9196932467
573	0.6971738289	0.9194879985
574	0.6971273713	0.9193721569
575	0.6970499419	0.9193119677
576	0.6970344561	0.9192465157
577	0.6971738289	0.9191736837
578	0.6970654278	0.9190688516
579	0.6970809137	0.9190135622
580	0.697158343	0.9187722609
581	0.6971428571	0.9186376065
582	0.6970654278	0.9185898785
583	0.6970809137	0.91853592
584	0.6970963995	0.918466657
585	0.6971893148	0.9183111329
586	0.6972048006	0.9182656431
587	0.6971893148	0.9181629888
588	0.6973441734	0.9180757598
589	0.6973286876	0.9180048635
590	0.6973596593	0.9179440694
591	0.6973132017	0.9178483111
592	0.6974990321	0.9176485071
593	0.6974680604	0.9175754331
594	0.6974835463	0.9174588657
595	0.6975609756	0.9173411489
596	0.6974835463	0.9172904568
597	0.697638405	0.9172149027
598	0.697746806	0.917136566
599	0.6978087495	0.9170101989
600	0.6979481223	0.9168979263
601	0.6980100658	0.9168390679
602	0.6979326365	0.9167424022
603	0.6979481223	0.9166579559
604	0.6979790941	0.9165631654
605	0.6979016647	0.916453736
606	0.6980410376	0.9163466052
607	0.6980565234	0.9162411682
608	0.6981339528	0.9161014324
609	0.6981494386	0.9160373113
610	0.6981958962	0.915973795
611	0.6982733256	0.9159003581
612	0.6983972125	0.9158112539
613	0.6984281843	0.9157541497
614	0.6984126984	0.9156221569
615	0.6984126984	0.9154404399
616	0.6984746419	0.9153948897
617	0.698459156	0.915315827
618	0.6984901278	0.9152348287
619	0.698459156	0.9150474255
620	0.6985520712	0.9149291038
621	0.6985520712	0.9148020712
622	0.6985056136	0.9147555531
623	0.6985520712	0.9146922184
624	0.6986914441	0.9146088608
625	0.6986914441	0.9144997943
626	0.6987843593	0.9144486789
627	0.698815331	0.9143068864
628	0.6987379017	0.9142758541
629	0.6987998451	0.9142078615
630	0.698815331	0.9141501524
631	0.6989237321	0.9140540312
632	0.6990011614	0.9139983788
633	0.6990011614	0.9139116338
634	0.6990011614	0.9138431572
635	0.6990166473	0.9137348166
636	0.6991250484	0.9136071187
637	0.6990631049	0.9135386421
638	0.699171506	0.9134242523
639	0.6992179636	0.9133178475
640	0.699171506	0.913251972
641	0.6991095625	0.9131523422
642	0.6991250484	0.9130700736
643	0.6992024777	0.9129827236
644	0.6991869919	0.9128008856
645	0.6992334495	0.91272884
646	0.6992644212	0.9126719778
647	0.6993883082	0.9124476747
648	0.6994192799	0.9123230014
649	0.6994502516	0.9122663811
650	0.6994502516	0.9120843012
651	0.6994657375	0.9119163158
652	0.6994657375	0.911867378
653	0.6995431669	0.9118172304
654	0.6995896245	0.9117568598
655	0.6995121951	0.9116810637
656	0.6995586527	0.9116302507
657	0.6995121951	0.9115418723
658	0.699527681	0.9114989837
659	0.6994502516	0.9113819323
660	0.699527681	0.9112868394
661	0.6995121951	0.9111961019
662	0.6994657375	0.911144442
663	0.6995121951	0.9110598747
664	0.6995896245	0.9109085245
665	0.6996515679	0.9107816734
666	0.6996670538	0.9107099908
667	0.6996051103	0.9106285085
668	0.6997754549	0.910486595
669	0.6997289973	0.9103907762
670	0.6997909408	0.9102991918
671	0.6998683701	0.9101910327
672	0.699883856	0.9100099811
673	0.7000232288	0.9098817388
674	0.7000077429	0.9098056402
675	0.7000077429	0.9097394623
676	0.6999612853	0.9096833261
677	0.6999922571	0.9096081954
678	0.6999922571	0.9095206035
679	0.6999922571	0.9094708188
680	0.7000696864	0.9094132307
681	0.6999612853	0.9092710753
682	0.7000232288	0.9092349618
683	0.7000387147	0.9091569275
684	0.7001780875	0.9090650407
685	0.7002555168	0.9089966246
686	0.7002245451	0.9089578494
687	0.7002090592	0.9088633614
688	0.7001471158	0.9087607675
689	0.7001471158	0.9087202381
690	0.7001935734	0.9086367596
691	0.7002245451	0.908557213
692	0.7001935734	0.9085259388
693	0.7002864886	0.9083927362
